title,price,location,link,description,area,bedrooms,bathrooms,source,image_url,active,status,last_seen
"Apartamento en Alquiler en El Portal, Envigado",3400000,"El Portal, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-el-portal-envigado-8528654,,84,3,,panda,https://images.wasi.co/inmuebles/_apartamento_arriendo_envigado_1740603772-4046_3915.jpeg,t,NEW,2026-01-13 20:50:29.259826+00
"Apartamento en Alquiler en La Abadia, Envigado",3400000,"La Abadia, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-abadia-envigado-9431035,,83,3,,panda,https://images.wasi.co/inmuebles/898271020250901105811.jpeg,t,NEW,2026-01-13 20:50:29.318719+00
"Apartamento en Alquiler en Loma De Las Brujas, Envigado",3400000,"Loma De Las Brujas, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-loma-de-las-brujas-envigado-9610649,,64,1,,panda,https://images.wasi.co/inmuebles/_apartamento_en_arriendo_sector_1762526434-6689_1628.jpeg,t,NEW,2026-01-13 20:50:29.444414+00
"Apartamento en Alquiler en Las Vegas, Envigado",3400000,"Las Vegas, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-las-vegas-envigado-9693037,,67,2,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_env_1766857930-4386_7706.jpeg,t,NEW,2026-01-13 20:50:29.53421+00
"Apartamento en Alquiler en Andalucia, Envigado",3300000,"Andalucia, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-andalucia-envigado-9595657,,110,3,,panda,https://images.wasi.co/inmuebles/_arriendo_apartamento_envigado_1762351463-1567_2578.jpeg,t,NEW,2026-01-13 20:50:29.582053+00
"Apartamento en Alquiler en La Paz, Envigado",3300000,"La Paz, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-paz-envigado-9705543,,107,3,,panda,https://images.wasi.co/inmuebles/_arriendo_apartamento_envigado_1767882044-2957_1026.jpeg,t,NEW,2026-01-13 20:50:29.639313+00
"Apartamento en Alquiler en Las Antillas, Envigado",3250000,"Las Antillas, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-las-antillas-envigado-7003986,,80,3,,panda,https://images.wasi.co/inmuebles/898272220260110100516.jpeg,t,NEW,2026-01-13 20:50:29.695713+00
"Apartamento en Alquiler en San Jose, Sabaneta",3200000,"San Jose, Sabaneta",https://pandainmobiliaria.com/inmuebles/apartamento-san-jose-sabaneta-6781031,,76,3,,panda,https://images.wasi.co/inmuebles/898271820250926034149.jpeg,t,NEW,2026-01-13 20:50:32.758709+00
"Apartamento en Alquiler en Barrio Mesa, Envigado",3200000,"Barrio Mesa, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-barrio-mesa-envigado-9558820,,90,3,,panda,https://images.wasi.co/inmuebles/89827120251023114058.jpeg,t,NEW,2026-01-13 20:50:32.826745+00
"Apartamento en Alquiler en El Chingui, Envigado",3200000,"El Chingui, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-el-chingui-envigado-9561284,,80,2,,panda,https://images.wasi.co/inmuebles/_arriendo_apartamento_envigado_1761316572-7045_4471.jpeg,t,NEW,2026-01-13 20:50:33.01675+00
"Apartamento en Alquiler en La Cuenca, Envigado",3200000,"La Cuenca, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-cuenca-envigado-9632996,,65,2,,panda,https://images.wasi.co/inmuebles/_apartamento_en_alquiler_en_env_1763587602-9199_7496.jpeg,t,NEW,2026-01-13 20:50:33.062976+00
"Apartamento en Alquiler en La Doctora, Sabaneta",3100000,"La Doctora, Sabaneta",https://pandainmobiliaria.com/inmuebles/apartamento-la-doctora-sabaneta-9689157,,91,3,,panda,https://images.wasi.co/inmuebles/_apartamento_arriendo_sabaneta_1766415142-5266_2283.jpeg,t,NEW,2026-01-13 20:50:33.117425+00
"Apartamento en Alquiler en La Frontera, Medellín",3000000,"La Frontera, Medellín",https://pandainmobiliaria.com/inmuebles/apartamento-la-frontera-medellin-9455777,,86,2,,panda,https://images.wasi.co/inmuebles/89827420250910090521.jpeg,t,NEW,2026-01-13 20:50:36.31733+00
"Apartamento en Alquiler en Asdesillas, Sabaneta",3000000,"Asdesillas, Sabaneta",https://pandainmobiliaria.com/inmuebles/apartamento-asdesillas-sabaneta-9623712,,65,2,,panda,https://images.wasi.co/inmuebles/_apartamento_para_alquiler_saba_1763062101-2108_3077.jpeg,t,NEW,2026-01-13 20:50:39.848974+00
"Apartamento en Alquiler en La Mina, Envigado",3000000,"La Mina, Envigado",https://pandainmobiliaria.com/inmuebles/apartamento-la-mina-envigado-9676031,,65,3,,panda,https://images.wasi.co/inmuebles/_apartamrnto_en_alquiler_en_env_1765560522-9251_1545.jpeg,t,NEW,2026-01-13 20:50:39.961355+00
